,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
12203,123112,19950,2015.0,bmw,3-series,excellent,4 cylinders,gas,58385.0,clean,automatic,4wd,compact,sedan,silver
12205,123135,18995,2006.0,jeep,wrangler,good,6 cylinders,gas,92487.0,clean,automatic,4wd,full-size,SUV,green
12206,123137,18980,2005.0,jeep,wrangler,good,6 cylinders,gas,51827.0,clean,automatic,4wd,full-size,SUV,red
12209,123144,9980,2002.0,toyota,4runner,good,6 cylinders,gas,137237.0,clean,automatic,4wd,full-size,SUV,white
12210,123145,14995,2012.0,chevrolet,tahoe,good,8 cylinders,gas,155604.0,clean,automatic,4wd,full-size,SUV,grey
12211,123146,13780,2012.0,jeep,grand cherokee,good,6 cylinders,gas,96179.0,clean,automatic,rwd,full-size,SUV,red
12214,123159,13495,2000.0,jeep,wrangler,good,6 cylinders,gas,97964.0,clean,manual,4wd,full-size,SUV,silver
12217,123178,19980,2012.0,toyota,tacoma,good,4 cylinders,gas,90916.0,clean,automatic,4wd,full-size,truck,blue
12218,123189,29975,2015.0,chevrolet,suburban,good,8 cylinders,gas,122562.0,clean,automatic,4wd,full-size,SUV,black
12220,123207,19995,2005.0,jeep,wrangler,good,6 cylinders,gas,90824.0,clean,automatic,4wd,full-size,SUV,custom
12221,123232,13990,2012.0,jeep,liberty,good,6 cylinders,gas,96138.0,clean,automatic,4wd,full-size,SUV,green
12222,123233,32490,2013.0,jeep,wrangler,good,6 cylinders,gas,47783.0,clean,automatic,4wd,full-size,SUV,red
12223,123235,21990,2015.0,ford,edge,good,6 cylinders,gas,17594.0,clean,automatic,4wd,full-size,SUV,black
12224,123238,18990,2010.0,chevrolet,suburban,good,8 cylinders,gas,125779.0,clean,automatic,4wd,full-size,SUV,white
12225,123240,21495,2009.0,jeep,wrangler,good,6 cylinders,gas,114740.0,clean,automatic,4wd,full-size,SUV,white
12227,123251,21990,2019.0,dodge,grand caravan,good,6 cylinders,gas,21258.0,clean,automatic,fwd,full-size,van,white
12233,123268,5000,2003.0,ford,mustang,good,6 cylinders,gas,81000.0,clean,automatic,rwd,mid-size,coupe,red
12234,123292,14995,2008.0,jeep,wrangler,good,6 cylinders,gas,137664.0,clean,automatic,4wd,full-size,SUV,green
12235,123293,12995,2008.0,toyota,highlander,good,6 cylinders,gas,151035.0,clean,automatic,fwd,full-size,SUV,black
12237,123339,11500,2005.0,toyota,tundra,good,6 cylinders,gas,125390.0,clean,automatic,rwd,full-size,truck,red
12238,123341,11500,2005.0,toyota,4runner,good,6 cylinders,gas,122030.0,clean,automatic,rwd,full-size,SUV,white
12239,123342,8980,2008.0,toyota,4runner,good,6 cylinders,gas,166403.0,clean,automatic,rwd,full-size,SUV,silver
12240,123354,17995,2006.0,jeep,wrangler,good,6 cylinders,gas,58311.0,clean,manual,4wd,full-size,SUV,black
12242,123413,16500,2018.0,hyundai,sonata,like new,4 cylinders,gas,13600.0,clean,automatic,fwd,mid-size,sedan,grey
12246,123489,10950,2006.0,chevrolet,silverado 1500,good,8 cylinders,gas,115345.0,clean,automatic,4wd,full-size,truck,custom
12248,123491,16950,2015.0,chevrolet,traverse,good,6 cylinders,gas,91528.0,clean,automatic,4wd,full-size,SUV,white
12249,123561,12850,2004.0,toyota,tundra,good,8 cylinders,gas,157161.0,clean,automatic,4wd,full-size,truck,grey
12252,123571,16950,2018.0,dodge,grand caravan,good,6 cylinders,gas,43010.0,clean,automatic,fwd,full-size,van,grey
12253,123578,14500,2003.0,toyota,tundra,good,6 cylinders,gas,68162.0,clean,automatic,rwd,full-size,truck,grey
12254,123580,12895,2002.0,jeep,wrangler,good,6 cylinders,gas,81628.0,clean,manual,4wd,full-size,SUV,black
12259,123633,13500,2000.0,jeep,wrangler,good,6 cylinders,gas,84270.0,clean,manual,4wd,full-size,SUV,silver
12260,123641,15950,2015.0,toyota,rav4,good,4 cylinders,gas,91196.0,clean,automatic,4wd,full-size,SUV,silver
12265,123670,14980,2007.0,toyota,tundra,good,8 cylinders,gas,175130.0,clean,automatic,4wd,full-size,truck,custom
12267,123672,17950,2013.0,ford,f-150,good,6 cylinders,gas,139839.0,clean,automatic,4wd,full-size,truck,green
12268,123674,8975,2011.0,subaru,forester,good,4 cylinders,gas,127478.0,clean,automatic,4wd,full-size,SUV,custom
12269,123690,10850,2004.0,toyota,tacoma,good,6 cylinders,gas,142539.0,clean,automatic,rwd,full-size,truck,red
12270,123691,19995,2006.0,jeep,wrangler,good,6 cylinders,gas,71750.0,clean,automatic,4wd,full-size,SUV,blue
12271,123692,9980,2010.0,toyota,rav4,good,6 cylinders,gas,137173.0,clean,automatic,4wd,full-size,SUV,custom
12272,123695,17850,2006.0,jeep,wrangler,good,6 cylinders,gas,66263.0,clean,automatic,4wd,full-size,SUV,yellow
12274,123727,13995,2011.0,dodge,charger,excellent,8 cylinders,gas,102336.0,clean,automatic,rwd,full-size,sedan,black
12276,123731,11950,2015.0,chevrolet,equinox,good,4 cylinders,gas,119860.0,clean,automatic,4wd,full-size,SUV,silver
12277,123743,15980,2006.0,toyota,tacoma,good,6 cylinders,gas,100447.0,clean,automatic,rwd,full-size,truck,red
12278,123747,11500,2002.0,toyota,tundra,good,8 cylinders,gas,161289.0,clean,automatic,4wd,full-size,truck,red
12279,123750,8950,2011.0,ford,edge,good,6 cylinders,gas,180961.0,clean,automatic,fwd,full-size,SUV,white
12280,123757,8995,2006.0,jeep,wrangler,good,4 cylinders,gas,149884.0,clean,manual,4wd,full-size,SUV,black
12284,123857,11950,2012.0,chevrolet,equinox,good,4 cylinders,gas,64196.0,clean,automatic,4wd,full-size,SUV,grey
12286,123894,45995,2017.0,chevrolet,silverado 2500hd,like new,8 cylinders,gas,40014.0,clean,automatic,4wd,full-size,truck,white
12304,124116,2700,2006.0,chevrolet,impala,good,6 cylinders,gas,145200.0,clean,automatic,fwd,full-size,sedan,white
12320,124336,8900,2011.0,subaru,outback,good,4 cylinders,gas,125000.0,clean,automatic,4wd,full-size,wagon,blue
12325,124375,21035,2014.0,ram,1500,excellent,8 cylinders,gas,107099.0,clean,automatic,rwd,full-size,truck,grey
12335,124468,3000,2005.0,honda,civic lx,fair,4 cylinders,gas,125000.0,clean,manual,fwd,mid-size,sedan,grey
12344,124565,9975,2014.0,chevrolet,cruze lt,excellent,4 cylinders,gas,66379.0,clean,automatic,fwd,mid-size,sedan,blue
12347,124583,2100,2000.0,chevrolet,malibu,good,6 cylinders,gas,150000.0,clean,automatic,fwd,full-size,sedan,white
12349,124632,4900,2007.0,ford,expedition,fair,8 cylinders,gas,187370.0,clean,automatic,rwd,full-size,SUV,custom
12350,124642,45900,2019.0,jeep,wrangler,like new,6 cylinders,gas,16520.0,clean,automatic,4wd,full-size,SUV,yellow
12354,124718,15500,2006.0,gmc,sierra 1500,like new,8 cylinders,gas,190000.0,clean,automatic,4wd,full-size,truck,grey
12355,124724,38000,2017.0,chevrolet,silverado,like new,8 cylinders,gas,62000.0,clean,automatic,4wd,full-size,truck,white
12365,124799,3600,2001.0,ram,2500,good,8 cylinders,gas,124356.0,clean,automatic,rwd,full-size,truck,white
12366,124809,12995,2007.0,chevrolet,tahoe,excellent,8 cylinders,gas,100803.0,clean,automatic,4wd,full-size,SUV,white
12372,124853,2200,2000.0,honda,accord,fair,6 cylinders,gas,211000.0,clean,automatic,fwd,compact,coupe,red
12374,124874,7495,2007.0,chevrolet,silverado,excellent,8 cylinders,gas,161424.0,clean,automatic,rwd,full-size,pickup,red
12376,124897,42900,2018.0,gmc,sierra 1500,good,8 cylinders,gas,64984.0,clean,automatic,4wd,full-size,truck,white
12380,124969,6500,2005.0,chevrolet,tahoe,good,8 cylinders,gas,190000.0,clean,automatic,rwd,full-size,SUV,grey
12385,125015,3400,2009.0,ford,focus se,excellent,4 cylinders,gas,167440.0,clean,manual,fwd,compact,coupe,silver
12387,125026,5500,2008.0,nissan,altima 2.5 s,excellent,4 cylinders,gas,110000.0,clean,automatic,fwd,full-size,sedan,white
12389,125042,0,2016.0,ford,focus,like new,4 cylinders,gas,75223.0,clean,automatic,fwd,compact,sedan,grey
12390,125044,4100,2009.0,subaru,forester,good,4 cylinders,gas,200100.0,clean,automatic,4wd,full-size,SUV,black
12394,125082,6995,2007.0,toyota,camry,excellent,4 cylinders,gas,107000.0,clean,automatic,fwd,full-size,sedan,red
12396,125097,25990,2015.0,jeep,grand cherokee,good,6 cylinders,gas,46153.0,clean,automatic,4wd,full-size,SUV,black
12397,125111,10200,2013.0,ford,focus,excellent,4 cylinders,gas,42000.0,clean,automatic,fwd,compact,hatchback,silver
12398,125113,25900,2016.0,chevrolet,suburban,good,8 cylinders,gas,141500.0,clean,automatic,4wd,full-size,SUV,black
12403,125154,32995,2012.0,ram,2500,good,6 cylinders,diesel,147438.0,clean,automatic,4wd,full-size,truck,black
12404,125155,21995,2014.0,ford,f-150,good,8 cylinders,gas,109476.0,clean,automatic,rwd,full-size,truck,black
12408,125245,14800,2013.0,ford,expedition,excellent,8 cylinders,gas,141858.0,clean,automatic,rwd,full-size,SUV,red
12409,125250,1200,2004.0,ford,f-150,fair,8 cylinders,gas,225000.0,clean,automatic,4wd,full-size,pickup,red
12411,125256,8995,2014.0,jeep,patriot,good,4 cylinders,gas,164129.0,clean,automatic,4wd,full-size,SUV,silver
12413,125271,8150,2011.0,subaru,forester,excellent,4 cylinders,gas,133000.0,clean,automatic,4wd,full-size,SUV,white
12415,125273,8750,2011.0,nissan,rogue,excellent,4 cylinders,gas,101000.0,clean,automatic,4wd,full-size,SUV,white
12419,125411,0,2013.0,chevrolet,tahoe,excellent,8 cylinders,gas,86724.0,clean,automatic,4wd,full-size,SUV,black
12422,125473,0,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,90844.0,clean,automatic,4wd,full-size,pickup,white
12425,125520,6000,2008.0,honda,pilot,good,6 cylinders,gas,231000.0,clean,automatic,rwd,mid-size,SUV,grey
12427,125533,3999,2003.0,chevrolet,suburban,good,8 cylinders,gas,178950.0,clean,automatic,rwd,full-size,SUV,white
12430,125552,4400,2005.0,honda,accord,excellent,4 cylinders,gas,176144.0,clean,automatic,fwd,compact,sedan,brown
12431,125563,6995,2009.0,buick,enclave,good,6 cylinders,gas,156470.0,clean,automatic,fwd,full-size,SUV,custom
12433,125588,9000,2012.0,chevrolet,silverado,good,8 cylinders,gas,113000.0,clean,automatic,rwd,full-size,truck,white
12436,125600,5995,2007.0,honda,pilot,good,6 cylinders,gas,176484.0,clean,automatic,4wd,full-size,SUV,custom
12438,125640,2495,2004.0,honda,odyssey,good,8 cylinders,gas,225748.0,clean,automatic,fwd,full-size,van,silver
12446,125702,9875,2010.0,toyota,prius,excellent,4 cylinders,hybrid,61000.0,clean,automatic,fwd,compact,hatchback,silver
12449,125741,2300,2003.0,ford,focus,good,4 cylinders,gas,227000.0,clean,manual,fwd,compact,sedan,grey
12452,125813,2500,2009.0,volkswagen,jetta,good,5 cylinders,gas,132537.0,clean,manual,fwd,mid-size,sedan,grey
12459,125865,7000,2009.0,ford,focus se,excellent,4 cylinders,gas,76000.0,clean,manual,fwd,compact,sedan,red
12462,125907,2995,2002.0,dodge,grand caravan,good,6 cylinders,gas,127000.0,clean,automatic,fwd,mid-size,mini-van,red
12467,125949,6950,2005.0,chevrolet,tahoe,excellent,8 cylinders,gas,186021.0,clean,automatic,4wd,full-size,SUV,blue
12473,126006,5500,2009.0,volkswagen,passat,good,6 cylinders,gas,133.0,clean,automatic,rwd,mid-size,sedan,grey
12478,126099,5800,2008.0,chevrolet,malibu,excellent,4 cylinders,gas,108000.0,clean,automatic,fwd,sub-compact,sedan,grey
12480,126125,4999,2009.0,dodge,grand caravan,excellent,6 cylinders,gas,212500.0,clean,automatic,fwd,full-size,mini-van,red
12484,126147,14990,2008.0,gmc,sierra 2500hd,excellent,8 cylinders,diesel,282511.0,clean,automatic,4wd,full-size,pickup,blue
12491,126205,5900,2007.0,chevrolet,suburban,fair,8 cylinders,gas,198000.0,clean,automatic,4wd,full-size,SUV,black
12492,126225,13000,2013.0,ford,edge,excellent,6 cylinders,gas,53000.0,clean,automatic,fwd,mid-size,SUV,brown
12496,126258,5900,2014.0,ford,escape,like new,4 cylinders,gas,108.0,clean,automatic,fwd,mid-size,SUV,white
12499,126269,13000,2011.0,jeep,grand cherokee,excellent,6 cylinders,gas,105000.0,clean,automatic,4wd,full-size,SUV,silver
12500,126275,11500,2016.0,nissan,altima,good,4 cylinders,gas,67695.0,clean,automatic,fwd,mid-size,sedan,red
12508,126339,13500,2004.0,ram,2500,good,6 cylinders,diesel,252677.0,clean,automatic,4wd,full-size,truck,purple
12532,126599,13995,2010.0,ford,f-150,excellent,8 cylinders,gas,140847.0,clean,automatic,4wd,full-size,truck,black
12537,126680,9995,2010.0,jeep,liberty,excellent,6 cylinders,gas,84092.0,clean,automatic,4wd,full-size,SUV,silver
12539,126709,6600,2010.0,ford,edge,good,6 cylinders,gas,155413.0,clean,automatic,fwd,full-size,SUV,red
12544,126741,37000,2004.0,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,124000.0,clean,automatic,4wd,full-size,pickup,white
12547,126766,5400,2006.0,jeep,grand cherokee,good,8 cylinders,gas,162111.0,clean,automatic,4wd,full-size,SUV,black
12548,126768,7995,2014.0,dodge,grand caravan,good,6 cylinders,gas,93000.0,clean,automatic,fwd,full-size,mini-van,blue
12549,126776,8500,2000.0,chevrolet,impala,excellent,6 cylinders,gas,29042.0,clean,automatic,fwd,full-size,sedan,blue
12553,126794,6250,2006.0,jeep,liberty,excellent,6 cylinders,gas,158000.0,clean,automatic,4wd,mid-size,SUV,red
12554,126811,5299,2006.0,jeep,grand cherokee,good,8 cylinders,gas,196871.0,clean,automatic,4wd,full-size,SUV,black
12560,126851,7499,2005.0,toyota,highlander,good,6 cylinders,gas,165586.0,clean,automatic,4wd,full-size,SUV,black
12562,126861,6499,2008.0,honda,cr-v,good,4 cylinders,gas,207863.0,clean,automatic,4wd,full-size,SUV,blue
12563,126864,4800,2005.0,jeep,grand cherokee,good,8 cylinders,gas,168427.0,clean,automatic,4wd,full-size,SUV,grey
12565,126867,9500,2007.0,ram,1500,excellent,8 cylinders,gas,187761.0,clean,automatic,4wd,full-size,truck,blue
12566,126875,8995,2016.0,nissan,altima,excellent,4 cylinders,gas,179000.0,clean,automatic,fwd,mid-size,sedan,grey
12567,126876,9995,2009.0,toyota,rav4,excellent,4 cylinders,gas,93765.0,clean,automatic,4wd,full-size,SUV,custom
12568,126881,5250,2006.0,ford,explorer,excellent,6 cylinders,gas,143000.0,clean,automatic,4wd,mid-size,SUV,brown
12576,126956,4800,2008.0,nissan,altima,good,4 cylinders,gas,124000.0,clean,automatic,fwd,mid-size,sedan,green
12579,126994,23850,2019.0,nissan,rogue,like new,4 cylinders,gas,23746.0,clean,automatic,4wd,mid-size,SUV,white
12580,126995,23995,2015.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,84478.0,clean,automatic,4wd,mid-size,truck,black
12582,127017,32407,2015.0,ford,mustang,excellent,8 cylinders,gas,11854.0,clean,manual,rwd,sub-compact,coupe,orange
12583,127018,7994,2010.0,ford,fusion,excellent,6 cylinders,gas,149885.0,clean,automatic,fwd,mid-size,sedan,blue
12585,127109,10995,2000.0,jeep,wrangler,excellent,6 cylinders,gas,118975.0,clean,automatic,4wd,mid-size,SUV,green
12586,127113,10500,2014.0,volkswagen,jetta,like new,4 cylinders,gas,38000.0,clean,automatic,fwd,full-size,sedan,grey
12588,127152,19995,2015.0,dodge,grand caravan,excellent,6 cylinders,gas,55000.0,clean,automatic,fwd,full-size,mini-van,silver
12590,127167,10000,2013.0,volkswagen,passat,excellent,5 cylinders,gas,78900.0,clean,automatic,fwd,mid-size,sedan,white
12592,127224,12500,2012.0,ford,f-250,excellent,8 cylinders,gas,155000.0,clean,automatic,rwd,full-size,pickup,white
12593,127245,15999,2014.0,ford,f-150,excellent,6 cylinders,gas,123328.0,clean,automatic,4wd,full-size,pickup,white
12598,127286,4999,2008.0,chrysler,town & country,excellent,6 cylinders,gas,165235.0,clean,automatic,fwd,full-size,mini-van,blue
12599,127287,14995,2014.0,honda,pilot,like new,6 cylinders,gas,115171.0,clean,automatic,fwd,full-size,SUV,white
12607,127385,20995,2017.0,hyundai,santa fe,new,4 cylinders,gas,60022.0,clean,automatic,fwd,full-size,SUV,black
12611,127420,29900,2012.0,chevrolet,silverado,excellent,8 cylinders,gas,72000.0,clean,automatic,4wd,full-size,truck,blue
12614,127489,2200,2001.0,honda,civic lx,good,4 cylinders,gas,143000.0,clean,automatic,fwd,compact,sedan,white
12618,127539,8995,2008.0,honda,cr-v,excellent,4 cylinders,gas,112333.0,clean,automatic,4wd,full-size,SUV,grey
12620,127573,7995,2003.0,ford,ranger,excellent,6 cylinders,gas,150287.0,clean,automatic,4wd,full-size,truck,white
12622,127576,3999,2003.0,ford,explorer,excellent,4 cylinders,gas,141804.0,clean,automatic,4wd,mid-size,SUV,white
12623,127580,31999,2017.0,ford,mustang,excellent,8 cylinders,gas,36261.0,clean,automatic,rwd,mid-size,convertible,white
12625,127601,10995,2011.0,chevrolet,equinox,excellent,4 cylinders,gas,76083.0,clean,automatic,4wd,full-size,SUV,grey
12626,127602,7500,2008.0,honda,pilot,excellent,6 cylinders,gas,159288.0,clean,automatic,fwd,full-size,SUV,grey
12627,127615,5995,2005.0,ford,expedition,excellent,8 cylinders,gas,128118.0,clean,automatic,4wd,full-size,SUV,white
12630,127624,32997,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,20346.0,rebuilt,automatic,4wd,full-size,pickup,silver
12634,127640,5250,2006.0,ford,explorer,excellent,6 cylinders,gas,143000.0,clean,automatic,4wd,mid-size,SUV,brown
12635,127652,3275,2002.0,toyota,camry,good,4 cylinders,gas,215000.0,clean,automatic,fwd,mid-size,sedan,blue
12642,127695,11000,2015.0,volkswagen,jetta,like new,4 cylinders,gas,42399.0,clean,automatic,fwd,full-size,sedan,silver
12646,127714,3500,2004.0,toyota,camry,fair,4 cylinders,gas,128000.0,clean,automatic,fwd,full-size,sedan,blue
12649,127730,3000,2004.0,hyundai,santa fe,good,6 cylinders,gas,165320.0,clean,automatic,4wd,mid-size,SUV,silver
12651,127736,8249,2011.0,hyundai,sonata,excellent,4 cylinders,gas,70567.0,clean,automatic,fwd,mid-size,sedan,silver
12654,127802,10995,2000.0,jeep,wrangler,excellent,6 cylinders,gas,118975.0,clean,automatic,4wd,mid-size,SUV,green
12665,127896,0,2014.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,93821.0,clean,automatic,4wd,full-size,pickup,white
12667,127899,14900,2010.0,chevrolet,silverado 1500,like new,8 cylinders,gas,129131.0,clean,automatic,rwd,full-size,pickup,white
12669,127913,8499,2014.0,volkswagen,jetta,excellent,4 cylinders,gas,63559.0,clean,automatic,fwd,full-size,sedan,black
12700,128158,8653,2012.0,ford,fusion,excellent,6 cylinders,gas,107104.0,clean,automatic,fwd,mid-size,sedan,red
12703,128168,35431,2017.0,ford,f-250,excellent,8 cylinders,gas,86625.0,clean,automatic,4wd,full-size,truck,white
12704,128174,7988,2014.0,volkswagen,passat,excellent,4 cylinders,gas,137896.0,clean,automatic,fwd,mid-size,sedan,black
12708,128192,8495,2016.0,chevrolet,cruze lt,excellent,4 cylinders,gas,106765.0,clean,automatic,fwd,full-size,sedan,white
12709,128202,5495,2007.0,toyota,sienna,like new,6 cylinders,gas,181930.0,clean,automatic,fwd,full-size,van,red
12710,128205,4499,2008.0,hyundai,elantra,good,4 cylinders,gas,140000.0,clean,automatic,fwd,mid-size,sedan,black
12711,128209,5995,2007.0,nissan,altima,like new,4 cylinders,gas,180378.0,clean,automatic,fwd,compact,sedan,red
12717,128262,14600,2010.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,169700.0,clean,automatic,rwd,full-size,truck,white
12721,128311,3000,2003.0,ram,1500,fair,6 cylinders,gas,172827.0,clean,automatic,rwd,full-size,truck,white
12728,128367,0,2017.0,dodge,grand caravan,excellent,6 cylinders,gas,70227.0,clean,automatic,fwd,full-size,van,silver
12734,128455,2500,2001.0,ram,1500,fair,8 cylinders,gas,136000.0,clean,automatic,4wd,full-size,pickup,black
12737,128484,5900,2006.0,chevrolet,suburban,excellent,8 cylinders,gas,286825.0,clean,automatic,4wd,full-size,SUV,black
12740,128499,5500,2008.0,nissan,altima,excellent,4 cylinders,hybrid,106000.0,clean,automatic,fwd,mid-size,sedan,white
12741,128514,59500,2014.0,ram,3500,like new,6 cylinders,diesel,26579.0,clean,automatic,4wd,full-size,truck,red
12746,128673,41000,2018.0,gmc,yukon,excellent,6 cylinders,gas,37000.0,clean,automatic,fwd,full-size,SUV,silver
12747,128687,3990,2004.0,jeep,grand cherokee,good,6 cylinders,gas,168821.0,clean,automatic,4wd,full-size,SUV,grey
12749,128696,2750,2004.0,toyota,camry,good,4 cylinders,gas,204857.0,clean,automatic,fwd,mid-size,sedan,black
12756,128737,6500,2010.0,toyota,corolla,excellent,4 cylinders,gas,120500.0,clean,automatic,fwd,compact,sedan,brown
12757,128738,9950,2017.0,chevrolet,cruze,new,4 cylinders,gas,43000.0,clean,automatic,fwd,compact,sedan,blue
12759,128746,13999,2017.0,chevrolet,equinox,like new,4 cylinders,gas,120076.0,clean,automatic,4wd,mid-size,SUV,black
12762,128761,3000,2000.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,219755.0,clean,automatic,4wd,full-size,truck,custom
12765,128815,7250,2013.0,volkswagen,jetta,excellent,4 cylinders,diesel,129000.0,clean,automatic,fwd,mid-size,wagon,blue
12766,128830,7867,2010.0,chevrolet,impala,excellent,6 cylinders,gas,128596.0,clean,automatic,fwd,full-size,sedan,yellow
12767,128831,6400,2012.0,ford,fusion,good,4 cylinders,gas,117000.0,clean,automatic,fwd,mid-size,sedan,grey
12769,128843,17000,2010.0,toyota,tacoma,excellent,6 cylinders,gas,162643.0,clean,automatic,rwd,full-size,truck,grey
12776,128895,13800,2011.0,chevrolet,silverado,excellent,8 cylinders,gas,192820.0,clean,automatic,4wd,full-size,truck,white
12781,128957,7800,2012.0,subaru,forester,excellent,4 cylinders,gas,165006.0,clean,automatic,4wd,full-size,SUV,green
12782,128960,9600,2016.0,chevrolet,malibu,like new,4 cylinders,gas,67000.0,rebuilt,automatic,fwd,full-size,sedan,silver
12785,129054,38000,2017.0,toyota,tacoma,excellent,6 cylinders,gas,45563.0,clean,automatic,4wd,full-size,truck,black
12786,129072,21685,2014.0,honda,odyssey,excellent,6 cylinders,gas,70410.0,clean,automatic,fwd,full-size,van,white
12790,129129,29000,2012.0,ford,f-350 sd,excellent,8 cylinders,diesel,131073.0,clean,automatic,4wd,full-size,truck,white
12795,129156,33900,2018.0,toyota,highlander,excellent,6 cylinders,gas,26042.0,clean,automatic,4wd,mid-size,SUV,black
12797,129201,8495,2015.0,dodge,journey,like new,6 cylinders,gas,41000.0,rebuilt,automatic,4wd,full-size,SUV,silver
12801,129257,14935,2013.0,honda,civic,new,4 cylinders,gas,23957.0,clean,automatic,fwd,mid-size,sedan,white
12802,129282,9995,2014.0,kia,soul,good,4 cylinders,gas,86976.0,clean,automatic,fwd,compact,wagon,blue
12806,129322,12950,2014.0,hyundai,santa fe,excellent,4 cylinders,gas,109340.0,clean,automatic,fwd,full-size,SUV,white
12809,129357,6400,2009.0,subaru,forester,excellent,6 cylinders,gas,166000.0,clean,automatic,4wd,mid-size,SUV,white
12810,129358,24000,2012.0,jeep,wrangler,excellent,6 cylinders,gas,115000.0,clean,automatic,4wd,full-size,SUV,white
12813,129378,5799,2006.0,honda,civic,excellent,4 cylinders,gas,132509.0,clean,automatic,fwd,full-size,sedan,silver
12814,129379,5999,2012.0,ford,focus,excellent,6 cylinders,gas,130787.0,clean,automatic,4wd,full-size,SUV,red
12815,129392,29500,2019.0,toyota,odyssey,new,4 cylinders,gas,8281.0,clean,automatic,fwd,full-size,mini-van,grey
12818,129408,8500,2012.0,toyota,camry le,excellent,4 cylinders,gas,123445.0,clean,automatic,fwd,mid-size,sedan,red
12820,129413,2100,2004.0,chevrolet,silverado,fair,8 cylinders,gas,208.0,clean,automatic,4wd,full-size,truck,brown
12834,129489,3799,2005.0,nissan,sentra,excellent,4 cylinders,gas,179000.0,clean,automatic,fwd,mid-size,sedan,silver
12835,129490,6999,2012.0,dodge,grand caravan,good,6 cylinders,gas,195795.0,clean,automatic,fwd,mid-size,mini-van,grey
12836,129512,36995,2018.0,ram,3500,excellent,6 cylinders,diesel,131137.0,clean,automatic,4wd,full-size,pickup,white
12839,129547,6900,2015.0,ford,focus se,like new,4 cylinders,gas,122785.0,clean,automatic,fwd,mid-size,hatchback,black
12840,129552,2100,2000.0,chevrolet,malibu,good,6 cylinders,gas,150000.0,clean,automatic,fwd,full-size,sedan,white
12842,129566,2695,2001.0,subaru,outback,good,4 cylinders,gas,142000.0,clean,automatic,4wd,mid-size,wagon,green
12846,129609,10000,2015.0,chrysler,town & country,good,6 cylinders,gas,104000.0,clean,automatic,fwd,mid-size,mini-van,silver
12847,129631,0,2013.0,chevrolet,tahoe,excellent,8 cylinders,gas,86724.0,clean,automatic,4wd,full-size,SUV,black
12850,129668,17995,2010.0,chevrolet,suburban,excellent,8 cylinders,gas,138410.0,clean,automatic,4wd,full-size,SUV,white
12851,129674,31999,2018.0,ram,1500,excellent,8 cylinders,gas,18451.0,clean,automatic,4wd,full-size,truck,black
12855,129723,13499,2009.0,jeep,wrangler,excellent,6 cylinders,gas,84230.0,clean,manual,4wd,compact,SUV,red
12857,129734,9500,2005.0,ford,f-150,good,8 cylinders,gas,196000.0,clean,automatic,4wd,full-size,truck,black
12861,129769,24988,2016.0,bmw,x5,good,6 cylinders,gas,46225.0,clean,automatic,rwd,full-size,SUV,white
12863,129778,6990,2007.0,subaru,forester,good,4 cylinders,gas,155000.0,clean,automatic,4wd,full-size,wagon,green
12868,129799,9990,2014.0,subaru,outback,good,4 cylinders,gas,161000.0,clean,automatic,4wd,full-size,wagon,blue
12869,129800,6990,2006.0,subaru,outback,good,4 cylinders,gas,161000.0,clean,automatic,4wd,full-size,wagon,white
12877,129850,7988,2005.0,bmw,x5,good,8 cylinders,gas,102743.0,clean,automatic,4wd,full-size,SUV,black
12881,129920,5000,2006.0,chevrolet,equinox,excellent,6 cylinders,gas,147000.0,clean,automatic,4wd,mid-size,SUV,yellow
12882,129935,5990,2012.0,subaru,outback,good,4 cylinders,gas,133000.0,clean,automatic,4wd,full-size,wagon,white
12886,129971,10990,2007.0,subaru,forester,good,4 cylinders,gas,102000.0,clean,automatic,4wd,full-size,wagon,silver
12890,129993,16900,2014.0,ford,escape,excellent,4 cylinders,gas,28204.0,clean,automatic,4wd,mid-size,SUV,red
12891,129994,6995,2014.0,subaru,legacy,excellent,4 cylinders,gas,93174.0,rebuilt,automatic,4wd,mid-size,sedan,blue
12893,129998,11990,2012.0,subaru,outback,good,4 cylinders,gas,133000.0,clean,automatic,4wd,full-size,wagon,white
12895,130002,7995,2012.0,ford,escape,excellent,4 cylinders,gas,86000.0,clean,automatic,4wd,mid-size,SUV,silver
12897,130012,7000,2014.0,subaru,legacy,good,4 cylinders,gas,105840.0,clean,automatic,fwd,mid-size,sedan,silver
12903,130026,7495,2010.0,ford,fusion se,excellent,4 cylinders,gas,65000.0,clean,automatic,fwd,mid-size,sedan,blue
12906,130032,44000,2017.0,chevrolet,tahoe,like new,8 cylinders,gas,43081.0,clean,automatic,4wd,sub-compact,SUV,grey
12907,130033,12499,2014.0,bmw,3-series,excellent,4 cylinders,gas,110724.0,clean,automatic,4wd,mid-size,sedan,white
