,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
59993,413140,7950,2015.0,ford,focus,excellent,4 cylinders,gas,109292.0,clean,automatic,fwd,compact,sedan,red
59994,413143,0,2012.0,ford,focus,excellent,4 cylinders,gas,120420.0,clean,automatic,fwd,compact,sedan,black
59996,413172,9895,2017.0,ford,focus,excellent,4 cylinders,gas,84883.0,clean,automatic,fwd,compact,sedan,grey
59997,413175,14800,2017.0,chevrolet,malibu,excellent,4 cylinders,gas,70404.0,clean,manual,fwd,mid-size,sedan,silver
59998,413183,12900,2017.0,chevrolet,malibu,excellent,4 cylinders,gas,54000.0,clean,manual,fwd,mid-size,sedan,black
59999,413184,7000,2012.0,chevrolet,malibu,excellent,4 cylinders,gas,90700.0,clean,automatic,fwd,mid-size,sedan,black
60000,413188,4950,2008.0,toyota,corolla,good,4 cylinders,gas,165000.0,clean,automatic,fwd,mid-size,sedan,red
60002,413217,3750,2005.0,toyota,camry,excellent,6 cylinders,gas,215000.0,clean,automatic,fwd,full-size,sedan,silver
60005,413242,5800,2009.0,nissan,versa,good,4 cylinders,gas,98057.0,clean,automatic,fwd,compact,sedan,black
60007,413253,14700,2018.0,ford,fusion,excellent,4 cylinders,gas,71293.0,clean,automatic,fwd,mid-size,sedan,blue
60008,413255,5300,2012.0,chevrolet,malibu,excellent,4 cylinders,gas,117000.0,clean,automatic,fwd,mid-size,sedan,black
60015,413324,19550,2018.0,ford,explorer,good,4 cylinders,gas,112500.0,clean,automatic,4wd,full-size,SUV,black
60023,413348,14900,2015.0,jeep,grand cherokee,good,6 cylinders,gas,130500.0,clean,automatic,4wd,full-size,SUV,black
60024,413350,17500,2017.0,hyundai,santa fe,good,6 cylinders,gas,55000.0,rebuilt,automatic,4wd,mid-size,SUV,silver
60033,413455,5950,2008.0,dodge,charger,good,6 cylinders,gas,120278.0,clean,automatic,rwd,full-size,sedan,grey
60034,413459,4595,2010.0,ford,focus se,good,4 cylinders,gas,100000.0,clean,automatic,fwd,compact,sedan,green
60036,413474,25999,2015.0,toyota,highlander,excellent,6 cylinders,gas,35033.0,clean,automatic,rwd,full-size,SUV,blue
60041,413512,16995,2018.0,hyundai,elantra,like new,4 cylinders,gas,21238.0,clean,automatic,fwd,sub-compact,sedan,black
60043,413572,28999,2018.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
60044,413576,31999,2018.0,ford,f-150,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
60048,413594,10995,2012.0,gmc,acadia,excellent,6 cylinders,gas,117900.0,clean,automatic,4wd,full-size,SUV,white
60059,413643,3495,2009.0,nissan,versa,excellent,4 cylinders,gas,176.0,clean,automatic,fwd,compact,sedan,grey
